#Bourrier et al. (2020)
#https://academic.oup.com/mnras/article/493/1/559/5717312
#cm,ergs/s/cm2
Wavelength,Flux
8.368000000000003e-08,0.004046400000000237
8.384000000000001e-08,0.004094399999999563
8.400000000000002e-08,0.004112000000000241
8.416000000000003e-08,0.00410240000000024
8.432000000000003e-08,0.004055999999999902
8.448000000000004e-08,0.003972800000000233
8.464000000000002e-08,0.003855999999999588
8.480000000000003e-08,0.003724800000000218
8.496000000000001e-08,0.0035823999999996174
8.512000000000002e-08,0.0034368000000002015
8.528000000000003e-08,0.0032896000000001927
8.544000000000003e-08,0.003148799999999924
8.560000000000004e-08,0.0030144000000001765
8.576000000000002e-08,0.0028975999999996905
8.592000000000003e-08,0.002793600000000163
8.608000000000004e-08,0.0027104000000001583
8.624000000000002e-08,0.0026303999999997183
8.640000000000003e-08,0.0025776000000001503
8.656000000000003e-08,0.002542399999999938
