Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
6.07434e+29,9.34397e+09,1.26e+12,0.35,1.95,1.15,0
6.73775e+29,1.03645e+10,1.49e+12,0.35,1.94,1.15,0
7.52904e+29,9.08884e+09,1.04e+12,0.36,2.01,1.12,0
6.72578e+28,3.47608e+09,1.13e+12,0.33,3.98,2.04,0
1.20178e+30,1.13850e+10,6.59e+11,0.37,2.24,1.09,0
9.82854e+28,3.98634e+09,8.41e+11,0.33,2.94,1.61,0
5.57679e+29,8.57859e+09,1.09e+12,0.35,1.96,1.15,0
1.08524e+29,2.71071e+09,2.71e+11,0.33,2.19,1.30,0
2.25754e+30,1.31709e+10,6.08e+11,0.30,2.84,1.42,0
1.29549e+30,7.55809e+09,1.95e+11,0.30,3.83,1.42,0
1.49289e+29,4.75171e+09,8.27e+11,0.33,2.36,1.42,0
4.57026e+29,5.51709e+09,4.48e+11,0.36,2.12,1.12,0
5.06869e+29,1.26606e+10,3.45e+12,0.32,1.93,1.29,0
1.02765e+30,1.24055e+10,1.74e+12,0.36,1.92,1.11,0
1.52495e+30,1.44465e+10,1.03e+12,0.37,2.08,1.09,0
2.42412e+29,4.75171e+09,5.45e+11,0.33,1.92,1.21,0
3.91826e+29,6.02734e+09,6.13e+11,0.36,2.02,1.16,0
5.95814e+29,3.47608e+09,4.23e+10,0.30,5.93,1.42,0
3.07490e+29,6.02734e+09,8.07e+11,0.33,1.89,1.21,0
1.05096e+30,7.81322e+09,3.87e+11,0.30,2.90,1.42,0
1.77162e+30,1.31709e+10,1.01e+12,0.30,2.37,1.42,0
1.03785e+30,4.75171e+09,2.85e+10,0.30,6.58,1.42,0
2.95985e+29,2.20046e+09,3.93e+10,0.30,4.82,1.42,0
4.16730e+28,1.69021e+09,2.23e+11,0.33,3.17,1.63,0
5.24487e+28,2.71071e+09,7.44e+11,0.34,4.00,2.04,0
2.10664e+29,5.26196e+09,7.65e+11,0.33,2.03,1.28,0
1.53936e+30,7.04784e+09,6.77e+10,0.30,5.10,1.42,0
1.89367e+29,6.02734e+09,1.20e+12,0.33,2.31,1.40,0
5.70523e+29,4.24146e+09,1.29e+11,0.30,3.69,1.42,0
6.47234e+29,7.81322e+09,8.06e+11,0.36,2.04,1.12,0
2.42962e+29,9.85422e+09,4.32e+12,0.33,2.99,1.66,0
1.90889e+30,1.41914e+10,1.17e+12,0.30,2.31,1.42,0
5.57939e+29,1.39362e+10,4.03e+12,0.32,1.91,1.28,0
5.41767e+29,1.06196e+10,2.09e+12,0.32,1.82,1.20,0
1.94321e+30,1.44465e+10,1.21e+12,0.30,2.29,1.42,0
1.25687e+30,9.34397e+09,5.36e+11,0.30,2.71,1.42,0
3.41662e+29,1.08747e+10,3.21e+12,0.33,2.23,1.40,0
1.33258e+29,4.24146e+09,6.86e+11,0.33,2.39,1.41,0
1.87457e+30,1.39362e+10,1.13e+12,0.30,2.32,1.42,0
3.09087e+29,3.73121e+09,2.36e+11,0.38,2.20,1.12,0
6.19860e+29,1.21504e+10,2.63e+12,0.32,1.81,1.21,0
4.99295e+29,6.02734e+09,5.20e+11,0.36,2.10,1.12,0
5.36206e+29,3.98634e+09,1.15e+11,0.30,3.78,1.42,0
3.59551e+29,7.04784e+09,1.06e+12,0.33,1.88,1.21,0
1.04878e+30,1.26606e+10,1.80e+12,0.36,1.91,1.11,0
1.31647e+30,6.02734e+09,4.79e+10,0.30,5.64,1.42,0
1.24555e+29,1.17996e+09,1.15e+10,0.35,4.61,1.09,0
3.40000e+29,3.22096e+09,7.07e+10,0.38,3.32,1.10,0
2.87672e+30,1.31709e+10,2.85e+11,0.30,3.43,1.42,0
1.28952e+29,3.22096e+09,3.50e+11,0.33,2.15,1.29,0
1.65320e+29,5.26196e+09,9.55e+11,0.33,2.32,1.40,0
2.61507e+29,8.32347e+09,2.03e+12,0.33,2.24,1.40,0
4.04729e+29,1.01093e+10,2.32e+12,0.32,1.93,1.28,0
1.99516e+30,1.16401e+10,4.70e+11,0.30,3.03,1.42,0
1.09406e+30,1.03645e+10,5.53e+11,0.37,2.31,1.09,0
8.37441e+29,1.01093e+10,1.23e+12,0.36,1.97,1.11,0
7.43961e+29,7.04784e+09,2.75e+11,0.38,2.61,1.09,0
1.65081e+30,7.55809e+09,7.91e+10,0.30,4.88,1.42,0
2.70955e+30,1.24055e+10,2.47e+11,0.30,3.56,1.42,0
2.17008e+30,1.26606e+10,5.59e+11,0.30,2.90,1.42,0
9.64246e+29,1.16401e+10,1.56e+12,0.36,1.94,1.11,0
2.42559e+29,3.73121e+09,2.75e+11,0.36,2.09,1.16,0
2.21381e+30,1.29157e+10,5.83e+11,0.30,2.87,1.42,0
3.30303e+29,2.45558e+09,4.82e+10,0.30,4.60,1.42,0
3.84301e+29,9.59910e+09,2.07e+12,0.32,1.92,1.27,0
1.43048e+29,2.20046e+09,1.15e+11,0.36,2.26,1.17,0
1.01196e+29,3.22096e+09,4.48e+11,0.33,2.47,1.43,0
1.23447e+29,5.00684e+09,1.24e+12,0.33,2.91,1.62,0
9.43112e+29,1.13850e+10,1.50e+12,0.36,1.94,1.11,0
2.15232e+30,9.85422e+09,1.44e+11,0.30,4.12,1.42,0
1.86349e+29,7.55809e+09,2.46e+12,0.33,2.84,1.62,0
8.24754e+29,7.81322e+09,3.31e+11,0.37,2.53,1.09,0
