Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
5.55446e+29,5.26196e+09,8.35e+09,0.37,4.94,1.10,0
2.77538e+29,8.83372e+09,1.85e+11,0.33,2.93,1.57,0
5.28752e+29,1.03645e+10,9.94e+10,0.36,2.72,1.26,0
1.33644e+30,1.26606e+10,5.54e+10,0.37,2.92,1.11,0
1.01327e+30,9.59910e+09,3.03e+10,0.37,3.44,1.10,0
1.13332e+30,1.36811e+10,8.93e+10,0.36,2.60,1.14,0
2.34499e+30,1.36811e+10,1.35e+10,0.34,3.52,1.10,0
2.21429e+29,7.04784e+09,1.14e+11,0.34,3.21,1.55,0
9.31806e+28,2.96583e+09,2.11e+10,0.35,4.27,1.52,0
1.04020e+30,9.85422e+09,3.21e+10,0.37,3.38,1.10,0
8.06457e+29,1.24055e+10,1.03e+11,0.36,2.59,1.19,0
6.45891e+29,1.26606e+10,1.54e+11,0.35,2.52,1.27,0
6.39157e+29,4.75171e+09,2.67e+09,0.34,6.15,1.10,0
1.59633e+29,2.45558e+09,4.05e+09,0.37,5.73,1.19,0
1.86397e+30,1.08747e+10,7.02e+09,0.34,4.10,1.10,0
1.18880e+29,1.43508e+09,9.35e+08,0.37,8.87,1.13,0
4.96655e+29,1.24055e+10,2.23e+11,0.33,2.52,1.39,0
9.83097e+28,2.45558e+09,9.32e+09,0.36,4.69,1.36,0
7.23531e+29,1.11298e+10,8.25e+10,0.36,2.72,1.19,0
6.11184e+28,1.94533e+09,1.03e+10,0.35,4.97,1.53,0
9.82329e+29,7.30297e+09,7.10e+09,0.34,4.67,1.10,0
1.41723e+30,1.34260e+10,6.31e+10,0.37,2.83,1.11,0
2.03366e+29,3.98634e+09,1.54e+10,0.36,4.08,1.26,0
4.58167e+29,7.04784e+09,3.16e+10,0.37,3.37,1.18,0
4.33254e+29,3.22096e+09,1.13e+09,0.34,7.87,1.10,0
7.71495e+28,2.45558e+09,1.47e+10,0.35,4.54,1.51,0
5.37511e+29,1.34260e+10,2.74e+11,0.33,2.43,1.40,0
2.30126e+30,1.34260e+10,1.28e+10,0.34,3.57,1.10,0
8.62273e+28,1.69021e+09,2.90e+09,0.36,6.04,1.26,0
7.32118e+28,1.43508e+09,2.09e+09,0.36,6.52,1.25,0
1.22871e+30,1.16401e+10,4.61e+10,0.37,3.07,1.10,0
4.76227e+29,1.18952e+10,2.01e+11,0.34,2.56,1.38,0
5.62697e+29,6.79272e+09,2.12e+10,0.37,3.75,1.14,0
2.57721e+29,1.17996e+09,4.69e+06,0.34,20.84,1.10,0
4.50874e+28,1.43508e+09,5.93e+09,0.35,5.50,1.54,0
1.76218e+29,2.71071e+09,4.75e+09,0.37,5.45,1.18,0
2.45685e+29,2.96583e+09,4.05e+09,0.37,5.95,1.14,0
1.49380e+29,3.73121e+09,2.04e+10,0.36,3.98,1.36,0
3.84301e+29,9.59910e+09,1.33e+11,0.35,2.82,1.38,0
1.95143e+30,1.13850e+10,7.98e+09,0.34,3.98,1.10,0
